state,election_date,election_polls_open,election_polls_close,election_notes,early_voting_vip_start_date,early_voting_vip_close_date,early_voting_vbm_application_deadline,early_voting_vbm_return_date,early_voting_notes,registration_deadline,registration_online_deadline,registration_notes
KS,2018-11-06,,,,2018-10-17,2018-11-05,2018-10-30,2018-11-06,Dates vary by county,2018-10-16,2018-10-16,"Kansas still has 2016 information on their website, so this is out best guess at the moment."
KY,2018-11-06,,,,2018-10-19,2018-11-05,2018-10-30,2018-11-06,Dates vary by county,2018-10-09,2018-10-09,
LA,2018-11-06,,,,2018-11-24,2018-12-01,2018-12-04,2018-12-07,,2018-11-07,2018-11-17,Online voter registration deadline is 2018-11-17
ME,2018-11-06,,8:00:00 PM,Polling place hours vary by town/municipality,2018-11-01,2018-11-06,2018-11-01,2018-11-06,In-person absentee voting.,,,Voters can register on election day at a local election office or city hall. The deadline to register by mail or through a voter registration drive is the close of business on the 21st day before the election: 2018-10-16
MD,2018-11-06,7:00:00 AM,8:00:00 PM,,2018-10-25,2018-11-01,2018-10-30,2018-11-06,,2018-10-16,2018-10-16,
MA,2018-11-06,,,,,,2018-10-07,2018-11-06,,2018-10-17,2018-10-17,
MI,2018-11-06,,,,,,2018-11-03,2018-11-05,,2018-10-09,,
MN,2018-11-06,,,,2018-09-21,2018-11-05,2018-10-07,2018-11-06,In-person absentee voting.,2018-10-16,2018-10-16,"The deadline to register online is 11:59 p.m., 21 days before Election Day. The deadline to register on paper is 5 p.m., 21 days before Election Day. Otherwise, you can register on Election Day at your polling place."
MS,2018-11-06,,,,,,2018-10-07,2018-11-06,,2018-10-08,,10/9/2018 is the deadline to register to vote by mail
MO,2018-11-06,,,,,,2018-10-31,2018-11-06,,2018-10-10,2018-10-10,
MT,2018-11-06,,,,2018-10-07,2018-11-05,2018-11-05,2018-11-06,In-person absentee voting.,2018-10-09,,"Regular voter registration closes at 5 p.m. on 2018-10-09.
Individuals can late-register at the county election office beginning the next day and through close of polls on election day."
NE,2018-11-06,,,,2018-10-02,2018-11-06,2018-10-31,2018-11-06,,2018-10-19,2018-10-19,
NV,2018-11-06,,,,2018-10-20,2018-11-02,2018-10-30,2018-11-06,,2018-10-09,2018-10-18,In-person deadline is 2018-10-16; online voter registration deadline is 2018-10-18
NH,2018-11-06,,7:00:00 PM,Polling place hours vary by town/municipality,,,2018-10-07,2018-11-06,Early voting in person and by mail dates vary by town/municipality,,,"GENERAL ELECTION DAY- November 6, 2018 - unregistered voters may register and vote on this day."
NJ,2018-11-06,6:00:00 AM,8:00:00 PM,,,,2018-10-30,2018-11-06,In-person absentee voting.,2018-10-16,,
NM,2018-11-06,,,,2018-10-09,2018-11-03,2018-11-02,2018-11-06,,2018-10-09,2018-10-09,
NY,2018-11-06,6:00:00 AM,9:00:00 PM,Polling place hours vary by county,,,2018-10-30,2018-11-05,,2018-10-12,2018-10-12,
NC,2018-11-06,6:30:00 AM,7:30:00 PM,,2018-10-18,2018-11-03,2018-10-30,2018-11-06,,2018-10-12,,
ND,2018-11-06,,,,,,2018-10-07,2018-11-06,Dates vary by county,,,Voters do not register in North Dakota
OH,2018-11-06,6:30:00 AM,7:30:00 PM,,2018-10-10,2018-11-05,2018-11-03,2018-11-06,In-person absentee voting.,2018-10-09,2018-10-09,
OK,2018-11-06,,,,2018-11-01,2018-11-03,2018-10-31,2018-11-06,In-person absentee voting.,2018-10-12,,"DPS is upgrading its computer system and will be able to accommodate online voter registration when the new system is in place, however this update is expected to take some time. We expect full online voter registration will be available in 2020. In the meantime, election board officials worked with legislators in 2017 on a bill that authorizes a phase one of online registration, which will allow those already registered to update their address and party affiliation online. We are currently testing that system and expect it will be ready later in 2018.""
OR,2018-10-16,2018-10-16,,,
PA,2018-10-09,2018-10-09,,,
RI,2018-10-07,2018-10-07,,,
SC,2018-10-05,2018-10-07,,,
SD,2018-10-22,,,,
TN,2018-10-09,2018-10-07,,,
TX,2018-10-09,,,,
UT,2018-10-30,2018-10-30,,,
VT,2018-11-06,2018-11-02,,,There is no deadline to register"
OR,2018-11-06,,,,,,2018-10-07,2018-11-06,,2018-10-15,2018-10-15,
PA,2018-11-06,7:00:00 AM,8:00:00 PM,,,,2018-10-30,2017-11-02,,2018-10-29,2018-10-08,
RI,2018-11-06,7:00:00 AM,8:00:00 PM,,,,2018-10-16,2018-11-06,,2018-10-16,2018-10-16,
SC,2018-11-06,7:00:00 AM,7:00:00 PM,,,,2018-11-02,2018-11-06,,2018-11-06,2018-10-17,Online: up to 20 days before the election. At the polling place on Election Day: you may register at the polls on Election Day.
SD,2018-11-06,,,,2018-09-21,2018-11-05,2018-11-02,2018-11-05,In-person absentee voting; varies by county,2018-10-22,,Register at the polls on Election Day
TN,2018-11-06,,,,2018-10-17,2018-11-01,2018-10-30,2018-11-06,,2018-11-06,2018-10-16,If otherwise qualified you may register at your precinct’s polling place on Election Day and cast a regular ballot that same day.
TX,2018-11-06,,,,2018-10-22,2018-11-02,2018-10-26,2018-11-06,,,,
UT,2018-11-06,,,,2018-10-23,2018-11-02,2018-11-01,2018-11-05,In-person absentee voting.,,,
VT,2018-11-06,,7:00:00 PM,Polling place hours vary by town/municipality,2018-09-22,2018-11-06,2018-11-05,2018-11-06,In-person absentee voting.,,,
VA,2018-11-06,6:00:00 AM,7:00:00 PM,,2018-09-22,2018-11-03,2018-10-30,2018-11-06,In-person absentee voting.,,,
WA,2018-11-06,,,,,,,2018-11-06,Washington votes by mail exclusively.,,,
WV,2018-11-06,6:30:00 AM,7:30:00 PM,,2018-10-24,2018-11-03,2018-10-31,2018-11-06,,,,
WI,2018-11-06,,,,,2018-11-02,2018-11-01,2018-11-06,In-person absentee voting; various by town/municipality,,,
WY,2018-11-06,,,,2018-09-27,2018-11-05,2018-10-07,2018-11-06,In-person absentee voting.,,,
DC,2018-11-06,7:00:00 AM,8:00:00 PM,,2018-10-26,2018-11-02,2018-10-30,2018-11-06,,,,
